##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
202DESC;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;Parts of Russia went to Estonia as ordered by Berlin;X
203NAME;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;Ingria, a part of Greater Finland?;X
203DESC;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;Several Finnish nationalists believe North-West Ingria should become part of Finland. Should we request these territories from Germany?;X
204NAME;Finnish claims on Jamburg;Finnish claims on Jamburg;Finnish claims on Jamburg;Finnish claims on Jamburg;Finnish claims on Jamburg;Finnish claims on Jamburg;Finnish claims on Jamburg;Finnish claims on Jamburg;Finnish claims on Jamburg;Finnish claims on Jamburg;X
204DESC;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;Finland has shown interest in some of the territories of Ingermanland. While the area is part of our settlement plan, the Finns offered us a large amount of money;X
205NAME;Jamburg to Finland;Jamburg to Finland;Jamburg to Finland;Jamburg to Finland;Jamburg to Finland;Jamburg to Finland;Jamburg to Finland;Jamburg to Finland;Jamburg to Finland;Jamburg to Finland;X
205DESC;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;Berlin has ordered us to hand over Jamburg to Finland;X
206NAME;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;Settlers arrive in Kingisepp;X
206DESC;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;The first Finnish settlers arrived in Ingria today!;X
207NAME;Ingria integrated!;Ingria integrated!;Ingria integrated!;Ingria integrated!;Ingria integrated!;Ingria integrated!;Ingria integrated!;Ingria integrated!;Ingria integrated!;Ingria integrated!;X
207DESC;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;Some areas of ingrea have been fully integrated as Finnish province!;X
208NAME;The Destruction of Leningrad;The Destruction of Leningrad;The Destruction of Leningrad;The Destruction of Leningrad;The Destruction of Leningrad;The Destruction of Leningrad;The Destruction of Leningrad;The Destruction of Leningrad;The Destruction of Leningrad;The Destruction of Leningrad;X
208DESC;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;The Nazi leadership had decided to destroy Leningrad, the center of Bolshevism, and hand over the area to Finland;X
208A;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;Destroy the city and hand the territory over to Finland;X
208B;Destroy the city but keep it under our control;Destroy the city but keep it under our control;Destroy the city but keep it under our control;Destroy the city but keep it under our control;Destroy the city but keep it under our control;Destroy the city but keep it under our control;Destroy the city but keep it under our control;Destroy the city but keep it under our control;Destroy the city but keep it under our control;Destroy the city but keep it under our control;X
208C;No, keep the city intact;No, keep the city intact;No, keep the city intact;No, keep the city intact;No, keep the city intact;No, keep the city intact;No, keep the city intact;No, keep the city intact;No, keep the city intact;No, keep the city intact;X
209NAME;Recovery of Leningrad industry;Recovery of Leningrad industry;Recovery of Leningrad industry;Recovery of Leningrad industry;Recovery of Leningrad industry;Recovery of Leningrad industry;Recovery of Leningrad industry;Recovery of Leningrad industry;Recovery of Leningrad industry;Recovery of Leningrad industry;X
209DESC;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;During the destruction of Leningrad much of its industry was dismantled and moved back to Germany. The transportation was costly, however.;X
210NAME;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;Scavenging Leningrad's fortifications;X
210DESC;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;During the destruction of Leningrad some static artillery was moved into Finland to protect the north-eastern border;X
211NAME;Revolts in Leningrad;Revolts in Leningrad;Revolts in Leningrad;Revolts in Leningrad;Revolts in Leningrad;Revolts in Leningrad;Revolts in Leningrad;Revolts in Leningrad;Revolts in Leningrad;Revolts in Leningrad;X
211DESC;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;Violent revolts have broken out in Leningrad. We must restore order as quickly as possible!;X
212NAME;German settlers arrive;German settlers arrive;German settlers arrive;German settlers arrive;German settlers arrive;German settlers arrive;German settlers arrive;German settlers arrive;German settlers arrive;German settlers arrive;X
212DESC;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;Settlers from Germany arrived at the trainstation of Riga. From there they will be brought further east where basic housing has been prepared for them;X
212A;Welcome them with open arms!;Welcome them with open arms!;Welcome them with open arms!;Welcome them with open arms!;Welcome them with open arms!;Welcome them with open arms!;Welcome them with open arms!;Welcome them with open arms!;Welcome them with open arms!;Welcome them with open arms!;X
212B;Beware of Russian bears...;Beware of Russian bears...;Beware of Russian bears...;Beware of Russian bears...;Beware of Russian bears...;Beware of Russian bears...;Beware of Russian bears...;Beware of Russian bears...;Beware of Russian bears...;Beware of Russian bears...;X
212C;It's getting crowded;It's getting crowded;It's getting crowded;It's getting crowded;It's getting crowded;It's getting crowded;It's getting crowded;It's getting crowded;It's getting crowded;It's getting crowded;X
212D;How does Pleskau sound?;How does Pleskau sound?;How does Pleskau sound?;How does Pleskau sound?;How does Pleskau sound?;How does Pleskau sound?;How does Pleskau sound?;How does Pleskau sound?;How does Pleskau sound?;How does Pleskau sound?;X
213NAME;Baltic Autobahn;Baltic Autobahn;Baltic Autobahn;Baltic Autobahn;Baltic Autobahn;Baltic Autobahn;Baltic Autobahn;Baltic Autobahn;Baltic Autobahn;Baltic Autobahn;X
213DESC;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;German industrialists have suggested the construction of a massive highway system through the Baltics. They say this will improve our control over the region. It will be expensive, however;X
213A;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;The Volkswagen will conquer the Baltics!;X
213B;Fine, but demand local financing;Fine, but demand local financing;Fine, but demand local financing;Fine, but demand local financing;Fine, but demand local financing;Fine, but demand local financing;Fine, but demand local financing;Fine, but demand local financing;Fine, but demand local financing;Fine, but demand local financing;X
213C;Horses are good enough for the Baltics;Horses are good enough for the Baltics;Horses are good enough for the Baltics;Horses are good enough for the Baltics;Horses are good enough for the Baltics;Horses are good enough for the Baltics;Horses are good enough for the Baltics;Horses are good enough for the Baltics;Horses are good enough for the Baltics;Horses are good enough for the Baltics;X
214NAME;First Baltic Autobahn!;First Baltic Autobahn!;First Baltic Autobahn!;First Baltic Autobahn!;First Baltic Autobahn!;First Baltic Autobahn!;First Baltic Autobahn!;First Baltic Autobahn!;First Baltic Autobahn!;First Baltic Autobahn!;X
214DESC;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;The first Autobahn in the Baltic has been completed!;X
215NAME;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;East bank of Lake Peipus settled!;X
